slug,title,authors,date
1020-mith-digital-dialogue-doug-reside-ifthen-101-teaching-programming-at-maryland,"10/20 MITH Digital Dialogue: Doug Reside, ""If/Then 101: Teaching Programming at Maryland""",Digital Dialogues,10/14/2009 8:28
1013-mith-digital-dialogue-sayeed-choudhury-an-abundant-humanities-library,"10/13 MITH Digital Dialogue: Sayeed Choudhury, ""An Abundant Humanities Library""",Digital Dialogues,10/7/2009 8:23
106-mith-digital-dialogue-brad-pasanek-a-dictionary-a-database-a-desultory-reader-metaphors-for-the-mind-in-eighteenth-century-literature,"10/6 MITH Digital Dialogue: Brad Pasanek, ""A Dictionary, A Database, A Desultory Reader: Metaphors for the Mind in Eighteenth-Century Literature""",Digital Dialogues,10/2/2009 9:17
jobs-assistant-director-a-new-position-mith,Job: Assistant Director,MITH,9/30/2009 14:20
929-mith-digital-dialogue-zita-nunes-english-and-comparative-literature-the-harlem-renaissance-in-second-life,"9/29 MITH Digital Dialogue: Zita Nunes (English and Comparative Literature), ""The Harlem Renaissance in Second Life.""",Digital Dialogues,9/23/2009 9:39
mith-co-pis-centernet-start-up,MITH co-PIs centerNet Start Up,MITH,9/10/2009 6:15
september-15th-digital-dialgoue-rachel-donahue-a-glance-at-the-current-state-of-video-game-preservation,"10/5 Digital Dialgoue: Rachel Donahue, ""A Glance at the Current State of Video Game Preservation""",MITH,9/8/2009 22:16
upcoming-digital-dialogue-lecture,Upcoming Digital Dialogue Lecture,Digital Dialogues,9/2/2009 11:55
donahue-elected-to-saa-steering-committee,Donahue Elected to SAA Steering Committee,MITH,8/19/2009 9:04
apply-for-advanced-tei-seminar-at-mith,Apply for Advanced TEI Seminar at MITH!,MITH,8/3/2009 11:24
mith-receives-mellon-funding-for-open-annotation-collaboration,MITH Receives Mellon Funding for Open Annotation Collaboration,MITH,8/3/2009 11:22
mith-receives-mellon-funding-for-computer-forensics-report,MITH Receives Mellon Funding for Computer Forensics Report,MITH,7/11/2009 11:20
dh09-registrations-breaks-300,DH09 Registrations Breaks 300!,MITH,6/11/2009 21:14
approaches-to-managing-and-collecting-born-digital-literary-resources-for-scholarly-use,Approaches to Managing and Collecting Born-Digital Literary Resources for Scholarly Use,MITH,5/11/2009 13:38
mith-welcomes-amanda-visconti,MITH Welcomes Amanda Visconti,MITH,5/5/2009 14:50
dh09-program-now-available,DH09 Program Now Available,MITH,5/5/2009 14:48
may-5th-digital-dialogue-katie-king-networked-reenactments-how-television-museums-and-universities-tried-to-find-audiences-in-the-nineties,"5/5 MITH Digital Dialogue: Katie King, ""Networked Reenactments: how television, museums, and universities tried to find audiences in the nineties""",Digital Dialogues,4/30/2009 23:02
428-mith-digital-dialogue-preserving-virtual-worlds-a-mith-research-update,"4/28 MITH Digital Dialogue: ""Preserving Virtual Worlds: A MITH Research Update""",Digital Dialogues,4/22/2009 13:24
421-mith-digital-dialogue-mills-kelly-what-happens-when-you-teach-students-to-lie-online,"4/21 MITH Digital Dialogue: Mills Kelly, ""What Happens When You Teach Students to Lie Online?""",Digital Dialogues,4/15/2009 15:07
mith-is-hiring-a-web-programmer,MITH is Hiring a Web Programmer,MITH,4/9/2009 14:23
414-mith-digital-dialogue-andrew-stauffer-formalization-transformation-and-the-digital-scholarly-edition,"4/14 MITH Digital Dialogue: Andrew Stauffer, ""Formalization, Transformation, and the Digital Scholarly Edition""",Digital Dialogues,4/8/2009 11:29
mith-in-the-chronicle,MITH in the Chronicle,MITH,4/7/2009 15:06
47-mith-digital-dialogue-wendell-piez-how-to-play-xml-markup-technologies-as-nomic-game,"4/7 MITH Digital Dialogue: Wendell Piez, ""How to Play XML: Markup Technologies as Nomic Game""",Digital Dialogues,4/1/2009 12:28
call-for-fellowships,Call for Fellowships,MITH,3/31/2009 16:14
331-mith-digital-dialogue-doug-reside-grant-dickie-the-shakespeare-quartos-archive-a-mith-research-update,"3/31 MITH Digital Dialogue: Doug Reside &#038; Grant Dickie, ""The Shakespeare Quartos Archive: A MITH Research Update""",Digital Dialogues,3/27/2009 11:08
miths-tile-project-funded-by-neh-preservation-and-access,MITH's TILE Project Funded by NEH Preservation and Access,MITH,3/26/2009 13:45
mith-wins-fourth-neh-digital-humanities-start-up-grant,MITH Wins Fourth NEH Digital Humanities Start Up Grant,MITH,3/24/2009 19:34
324-mith-digital-dialogue-despina-kakoudaki-are-robots-real-the-robot-as-an-object-of-study,"3/24 MITH Digital Dialogue: Despina Kakoudaki, ""Are Robots Real? The Robot as an Object of Study""",Digital Dialogues,3/20/2009 10:09
digital-humanities-2009-registration-now-open,Digital Humanities 2009 Registration Now Open!,MITH,3/2/2009 13:15
sayeed-choudhurys-digital-dialogue-cancelled,Sayeed Choudhury's Digital Dialogue Cancelled,Digital Dialogues,3/2/2009 13:13
33-mith-digital-dialogue-sayeed-choudhury-an-abundant-humanities-library,"3/3 MITH Digital Dialogue: Sayeed Choudhury, ""An Abundant Humanities Library""",Digital Dialogues,2/25/2009 10:09
224-mith-digital-dialogue-william-noel-walters-art-museum-archimedes-in-bits-ten-years-of-work-on-the-archimedes-palimpsest,"2/24 MITH Digital Dialogue: William Noel (Walters Art Museum), ""Archimedes in Bits: Ten Years of Work on the Archimedes Palimpsest""",Digital Dialogues,2/21/2009 16:29
217-mith-digital-dialogue-jean-dryden-copyright-in-the-real-world,"2/17 MITH Digital Dialogue: Jean Dryden, ""Copyright in the Real World""",Digital Dialogues,2/12/2009 9:45
210-mith-digital-dialogue-jeremy-boggs-managing-projects-in-the-digital-humanities,"2/10 MITH Digital Dialogue: Jeremy Boggs, ""Managing Projects in the Digital Humanities""",Digital Dialogues,2/4/2009 13:11
23-mith-digital-dialogue-merle-collins-saracca-and-nation-african-memory-and-re-creation-in-grenada-film-screening,"2/3 MITH Digital Dialogue: Merle Collins, ""Saracca and Nation: African Memory and Re-creation in Grenada"" (film screening)",Digital Dialogues,1/29/2009 10:47
spring-2009-digital-dialogues-schedule,Spring 2009 Digital Dialogues Schedule,Digital Dialogues,1/27/2009 14:22
1118-mith-digital-dialogue-ann-weeks-and-benjamin-bederson-the-international-childrens-digital-library-not-just-for-children-anymore,"11/18 MITH Digital Dialogue: Ann Weeks and Benjamin Bederson, ""The International Children's Digital Library - Not Just for Children Anymore""",Digital Dialogues,11/12/2008 16:55
114-mith-digital-dialogue-bethany-nowviskie-new-world-ordering-shaping-geospatial-information-for-scholarly-use,"11/4 MITH Digital Dialogue: Bethany Nowviskie, ""New World Ordering: Shaping Geospatial Information for Scholarly Use.""",Digital Dialogues,10/29/2008 11:23
1028-mith-digital-dialogue-matthew-kirschenbaum-war-and-games-discussion,"10/28 MITH Digital Dialogue: Matthew Kirschenbaum, ""War (and) Games"" (discussion)",Digital Dialogues,10/22/2008 15:47
tools-for-data-driven-scholarship,Tools for Data-Driven Scholarship,MITH,10/22/2008 10:41
1021-mith-digital-dialogue-kathleen-fitzpatrick-planned-obsolescence-publishing-technology-future-academy,"10/21 MITH Digital Dialogue: Kathleen Fitzpatrick: Planned Obsolescence: Publishing, Technology, and the Future of the Academy.",Digital Dialogues,10/15/2008 13:00
1014-mith-digital-dialogue-zach-whalen-the-videogame-text,"10/14 MITH Digital Dialogue: Zach Whalen, ""The Videogame Text""",Digital Dialogues,10/8/2008 11:50
107-mith-digital-dialogue-brent-seales-educe-enhanced-digital-unwrapping-for-conservation-and-exploration,"10/7 MITH Digital Dialogue: Brent Seales, ""EDUCE: Enhanced Digital Unwrapping for Conservation and Exploration.""",Digital Dialogues,10/1/2008 10:05
